pintu_masuk,bulan,tahun_2009,tahun_2010,growth
"Bandar Udara Sultan Aji Muhammad Sulaiman, Sepinggan, Balikpapan",Januari,723,615,-14.94
"Bandar Udara Sultan Aji Muhammad Sulaiman, Sepinggan, Balikpapan",Februari,924,694,-24.89
"Bandar Udara Sultan Aji Muhammad Sulaiman, Sepinggan, Balikpapan",Maret,929,1254,34.98
"Bandar Udara Sultan Aji Muhammad Sulaiman, Sepinggan, Balikpapan",April,850,899,5.76
"Bandar Udara Sultan Aji Muhammad Sulaiman, Sepinggan, Balikpapan",Mei,772,780,1.04
"Bandar Udara Sultan Aji Muhammad Sulaiman, Sepinggan, Balikpapan",Juni,822,891,8.39
"Bandar Udara Sultan Aji Muhammad Sulaiman, Sepinggan, Balikpapan",Juli,950,846,-10.95
"Bandar Udara Sultan Aji Muhammad Sulaiman, Sepinggan, Balikpapan",Agustus,1005,841,-16.32
"Bandar Udara Sultan Aji Muhammad Sulaiman, Sepinggan, Balikpapan",September,815,889,9.08
"Bandar Udara Sultan Aji Muhammad Sulaiman, Sepinggan, Balikpapan",Oktober,848,1104,30.19
"Bandar Udara Sultan Aji Muhammad Sulaiman, Sepinggan, Balikpapan",November,782,1116,42.71
"Bandar Udara Sultan Aji Muhammad Sulaiman, Sepinggan, Balikpapan",Desember,565,895,58.41
"Bandar Udara Sultan Syarif Kasim II / Simpang Tiga, Pekanbaru",Januari,1671,1056,-36.8
"Bandar Udara Sultan Syarif Kasim II / Simpang Tiga, Pekanbaru",Februari,1472,1268,-13.86
"Bandar Udara Sultan Syarif Kasim II / Simpang Tiga, Pekanbaru",Maret,1711,1319,-22.91
"Bandar Udara Sultan Syarif Kasim II / Simpang Tiga, Pekanbaru",April,1265,1234,-2.45
"Bandar Udara Sultan Syarif Kasim II / Simpang Tiga, Pekanbaru",Mei,1593,1131,-29
"Bandar Udara Sultan Syarif Kasim II / Simpang Tiga, Pekanbaru",Juni,2308,1642,-28.86
"Bandar Udara Sultan Syarif Kasim II / Simpang Tiga, Pekanbaru",Juli,1286,1223,-4.9
"Bandar Udara Sultan Syarif Kasim II / Simpang Tiga, Pekanbaru",Agustus,1335,905,-32.21
"Bandar Udara Sultan Syarif Kasim II / Simpang Tiga, Pekanbaru",September,1796,1508,-16.04
"Bandar Udara Sultan Syarif Kasim II / Simpang Tiga, Pekanbaru",Oktober,1285,1089,-15.25
"Bandar Udara Sultan Syarif Kasim II / Simpang Tiga, Pekanbaru",November,1533,2070,35.03
"Bandar Udara Sultan Syarif Kasim II / Simpang Tiga, Pekanbaru",Desember,1741,833,-52.15
"Bandar Udara Adisucipto, Yogyakarta",Januari,2923,"3,672
",25.62
"Bandar Udara Adisucipto, Yogyakarta",Februari,"2,439
",4006,64.25
"Bandar Udara Adisucipto, Yogyakarta",Maret,3185,4467,40.25
"Bandar Udara Adisucipto, Yogyakarta",April,4280,3733,-12.78
"Bandar Udara Adisucipto, Yogyakarta",Mei,4566,5170,13.23
"Bandar Udara Adisucipto, Yogyakarta",Juni,4592,"4747
","3.38
"
"Bandar Udara Adisucipto, Yogyakarta",Juli,4512,4576,1.42
"Bandar Udara Adisucipto, Yogyakarta",Agustus,4332,4188,-3.32
"Bandar Udara Adisucipto, Yogyakarta",September,2540,3488,37.32
"Bandar Udara Adisucipto, Yogyakarta",Oktober,3907,4419,13.1
"Bandar Udara Adisucipto, Yogyakarta",November,3713,1254,-66.23
"Bandar Udara Adisucipto, Yogyakarta",Desember,4894,3267,-33.24
"Bandar Udara Husein Sastranegara, Bandung",Januari,4851,6444,32.84
"Bandar Udara Husein Sastranegara, Bandung",Februari,4605,6809,47.86
"Bandar Udara Husein Sastranegara, Bandung",Maret,5651,7155,26.61
"Bandar Udara Husein Sastranegara, Bandung",April,6915,6885,-0.43
"Bandar Udara Husein Sastranegara, Bandung",Mei,8288,8156,1.59
"Bandar Udara Husein Sastranegara, Bandung",Juni,9728,7680,-21.05
"Bandar Udara Husein Sastranegara, Bandung",Juli,8911,8409,-5.63
"Bandar Udara Husein Sastranegara, Bandung",Agustus,7079,7218,1.96
"Bandar Udara Husein Sastranegara, Bandung",September,"3,491
",5227,49.73
"Bandar Udara Husein Sastranegara, Bandung",Oktober,5661,9570,69.05
"Bandar Udara Husein Sastranegara, Bandung",November,6334,6321,-0.21
"Bandar Udara Husein Sastranegara, Bandung",Desember,7484,10404,39.02
"Pelabuhan Tanjung Uban, Kepulauan Riau",Januari,23916,21604,-9.67
"Pelabuhan Tanjung Uban, Kepulauan Riau",Februari,19602,23718,21
"Pelabuhan Tanjung Uban, Kepulauan Riau",Maret,24749,27100,9.5
"Pelabuhan Tanjung Uban, Kepulauan Riau",April,23816,22281,-6.45
"Pelabuhan Tanjung Uban, Kepulauan Riau",Mei,23431,26349,12.45
"Pelabuhan Tanjung Uban, Kepulauan Riau",Juni,28918,29928,3.49
"Pelabuhan Tanjung Uban, Kepulauan Riau",Juli,25722,27000,4.97
"Pelabuhan Tanjung Uban, Kepulauan Riau",Agustus,29542,26653,-9.78
"Pelabuhan Tanjung Uban, Kepulauan Riau",September,21729,23187,6.71
"Pelabuhan Tanjung Uban, Kepulauan Riau",Oktober,24265,25435,4.82
"Pelabuhan Tanjung Uban, Kepulauan Riau",November,20829,26029,24.97
"Pelabuhan Tanjung Uban, Kepulauan Riau",Desember,29810,34661,16.27
"Balai Karimun, Kepulauan Riau",Januari,10248,6912,-32.55
"Balai Karimun, Kepulauan Riau",Februari,8786,9100,3.57
"Balai Karimun, Kepulauan Riau",Maret,9970,9446,-5.26
"Balai Karimun, Kepulauan Riau",April,8906,8180,-8.15
"Balai Karimun, Kepulauan Riau",Mei,8978,8543,-4.85
"Balai Karimun, Kepulauan Riau",Juni,9462,9413,-0.52
"Balai Karimun, Kepulauan Riau",Juli,8028,9237,15.06
"Balai Karimun, Kepulauan Riau",Agustus,7845,6126,-21.91
"Balai Karimun, Kepulauan Riau",September,5920,7119,20.25
"Balai Karimun, Kepulauan Riau",Oktober,7429,7707,3.74
"Balai Karimun, Kepulauan Riau",November,6728,8605,27.9
"Balai Karimun, Kepulauan Riau",Desember,9332,10520,12.73
Pintu Lainnya,Januari,33243,32704,-1.62
Pintu Lainnya,Februari,29752,33884,13.89
Pintu Lainnya,Maret,33658,35423,5.24
Pintu Lainnya,April,30153,30692,1.79
Pintu Lainnya,Mei,29826,32497,8.96
Pintu Lainnya,Juni,25797,28662,11.11
Pintu Lainnya,Juli,30977,31895,2.96
Pintu Lainnya,Agustus,30634,29608,-3.35
Pintu Lainnya,September,42743,37716,-11.76
Pintu Lainnya,Oktober,37646,36809,-2.22
Pintu Lainnya,November,48172,45532,-5.48
Pintu Lainnya,Desember,52269,52099,-0.33
